Apr10_blue_300_2_2111211/300/75/300/blue/2/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_350_2_2111211/300/87/350/blue/2/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_400_2_2111211/300/100/400/blue/2/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_450_2_2111211/300/112/450/blue/2/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_500_2_2111211/300/125/500/blue/2/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_50_4_2111211/300/12/50/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_100_4_2111211/300/25/100/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_150_4_2111211/300/37/150/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_200_4_2111211/300/50/200/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_250_4_2111211/300/62/250/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_300_4_2111211/300/75/300/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_350_4_2111211/300/87/350/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_400_4_2111211/300/100/400/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_450_4_2111211/300/112/450/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_blue_500_4_2111211/300/125/500/blue/4/{'cart': 2, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
#test_id/duration/rate/con/zone/i_level/{configuration}/start_position/end_position
Apr10_red_50_0_4111211/300/12/50/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_100_0_4111211/300/25/100/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_150_0_4111211/300/37/150/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_200_0_4111211/300/50/200/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_250_0_4111211/300/62/250/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_300_0_4111211/300/75/300/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_350_0_4111211/300/87/350/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_400_0_4111211/300/100/400/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_450_0_4111211/300/112/450/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_500_0_4111211/300/125/500/red/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_50_2_4111211/300/12/50/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_100_2_4111211/300/25/100/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_150_2_4111211/300/37/150/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_200_2_4111211/300/50/200/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_250_2_4111211/300/62/250/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_300_2_4111211/300/75/300/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_350_2_4111211/300/87/350/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_400_2_4111211/300/100/400/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_450_2_4111211/300/112/450/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_500_2_4111211/300/125/500/red/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_50_4_4111211/300/12/50/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_100_4_4111211/300/25/100/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_150_4_4111211/300/37/150/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_200_4_4111211/300/50/200/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_250_4_4111211/300/62/250/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_300_4_4111211/300/75/300/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_350_4_4111211/300/87/350/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_400_4_4111211/300/100/400/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_450_4_4111211/300/112/450/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_red_500_4_4111211/300/125/500/red/4/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_50_0_4111211/300/12/50/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_100_0_4111211/300/25/100/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_150_0_4111211/300/37/150/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_200_0_4111211/300/50/200/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_250_0_4111211/300/62/250/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_300_0_4111211/300/75/300/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_350_0_4111211/300/87/350/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_400_0_4111211/300/100/400/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_450_0_4111211/300/112/450/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_500_0_4111211/300/125/500/green/0/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_50_2_4111211/300/12/50/green/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_100_2_4111211/300/25/100/green/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
Apr10_green_150_2_4111211/300/37/150/green/2/{'cart': 4, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 2, 'user': 1, 'payment': 1}/5/35
